Rating,Name,Career Best
887,V Kohli,911
854,RG Sharma,883
821,LRPL Taylor,831
807,JE Root,824
801,Babar Azam,846
791,F du Plessis,802
780,SD Hope,780
758,Q de Kock,808
755,Fakhar Zaman,755
744,S Dhawan,813
739,KS Williamson,798
726,JM Bairstow,777
722,HM Amla,901
712,Mushfiqur Rahim,712
712,Tamim Iqbal,737
695,Imam-ul-Haq,706
688,MS Dhoni,836
685,JC Buttler,723
683,MJ Guptill,789
675,EJG Morgan,690
659,AJ Finch,744
642,KJ Coetzer,647
640,JJ Roy,680
633,N Dickwella,643
631,TM Head,670
618,BA Stokes,654
610,DA Miller,632
609,AD Hales,705
607,AD Mathews,707
606,TWM Latham,625
606,GJ Maxwell,735
603,Shakib Al Hasan,683
596,Mohammad Hafeez,665
591,Rahmat Shah,625
590,KM Jadhav,591
586,PR Stirling,693
585,Mohammad Shahzad,594
585,CS MacLeod,585
578,SO Hetmyer,652
576,BRM Taylor,667
575,Soumya Sarkar,671
574,AT Rayudu,574
572,SE Marsh,581
564,MP Stoinis,616
562,Mahmudullah,579
555,EC Joyce,618
553,Shoaib Malik,685
549,AM Rahane,633
542,Sarfaraz Ahmed,581
541,WU Tharanga,663
539,Sikandar Raza,576
536,KJ O'Brien,602
533,Mohammad Nabi,545
532,Anshuman Rath,532
528,JP Duminy,668
528,HM Nicholls,533
521,C Munro,539
520,Imrul Kayes,560
516,MN Samuels,631
516,SC Williams,556
514,WTS Porterfield,539
509,JDS Neesham,509
509,NLTC Perera,509
504,MDKJ Perera,552
502,E Lewis,535
498,JO Holder,518
496,Shaiman Anwar,496
494,Rameez Shahzad,501
491,H Masakadza,566
490,A Balbirnie,491
489,BKG Mendis,631
484,LD Chandimal,667
482,MM Ali,522
480,Najibullah Zadran,497
478,Nizakat Khan,478
477,CH Gayle,804
475,MD Gunathilaka,492
474,MJ Santner,502
472,HH Pandya,497
471,RD Berrington,471
462,Imad Wasim,462
457,Hashmatullah Shahidi,467
450,F Behardien,553
448,Rashid Khan,448
446,Haris Sohail,520
446,Sabbir Rahman,515
446,SK Raina,669
441,CR Ervine,524
439,DM Bravo,588
435,PSP Handscomb,435
434,CR Woakes,481
432,Babar Hayat,441
431,Javed Ahmadi,469
429,RR Hendricks,433
428,R Powell,456
428,Liton Das,433
422,Gulbadin Naib,432
419,Anamul Haque,567
418,E Chigumbura,554
415,C de Grandhomme,520
